web-scraper-order,web-scraper-start-url,title,url,url-href
"1574201914-150","https://www.youtube.com/feed/library","[Music] Synthwave","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRcDFBnBL7nFQ3EzpJT1bvZa"
"1574201914-137","https://www.youtube.com/feed/library","[Music] General","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRf8c45zElHTV-7D8MpgxgTg"
"1574201914-144","https://www.youtube.com/feed/library","[Music] Progressive Trance","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRec6D2tNfDCJEHzQDbSEQ88"
"1574201914-142","https://www.youtube.com/feed/library","[Music] Old","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRd_crVKQhdmmwsH9ZBq2JYd"
"1574201914-127","https://www.youtube.com/feed/library","[Music] Aggresive Rap Instrumental","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjReYvEfXIi-NVCfqzQz8Z50l"
"1574201914-139","https://www.youtube.com/feed/library","[Music] Hindi/Punjabi","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRcVKXm9KsCltJh3qaJSoGGT"
"1574201914-148","https://www.youtube.com/feed/library","[Music] South Indian","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRdTTk3iZ-E2uUOz__REEzTl"
"1574201914-141","https://www.youtube.com/feed/library","[Music] Inspirational","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRdDKB8wKyf_XaP-u0a97RMi"
"1574201914-130","https://www.youtube.com/feed/library","[Music] Country","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRcMnHpRvFX6XqaqAhvUPX3K"
"1574201914-135","https://www.youtube.com/feed/library","[Music] French","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRfr5MGTAMa_7lRPEBit3qDr"
"1574201914-152","https://www.youtube.com/feed/library","[Music] Vocal Trance","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRfWIqu6iCooZIxJhFoaJPH6"
"1574201914-133","https://www.youtube.com/feed/library","[Music] Dutch","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRcO51EBiT7UX5L72jyMLIKX"
"1574201914-134","https://www.youtube.com/feed/library","[Music] Epic","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRfqPhDB4kUmmA0an-17h3Td"
"1574201914-138","https://www.youtube.com/feed/library","[Music] Gym motivation","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRce8Za_9wkLbh9zrf67rMJb"
"1574201914-129","https://www.youtube.com/feed/library","[Music] Chill","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRdPqYJ7bV6XEEDlTawOmY3v"
"1574201914-140","https://www.youtube.com/feed/library","[Music] Hip-Hop","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRd7VQZRm_pmJxou0jeMyD-f"
"1574201914-143","https://www.youtube.com/feed/library","[Music] Pop","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjReH9Wy9vYZUb0ihXNzRpf_G"
"1574201914-146","https://www.youtube.com/feed/library","[Music] Reggae","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRfLw0G82kR83t0eDKZJIXxM"
"1574201914-159","https://www.youtube.com/feed/library","Kizomba music","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRf7T7xIzFSwbMZBSWzC6z7S"
"1574201914-128","https://www.youtube.com/feed/library","[Music] Anime OST","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjReEYXvjy_nA41z5EDhmvLIa"
"1574201914-149","https://www.youtube.com/feed/library","[Music] Swing","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRdt0DS2eprDW80dknCm7syc"
"1574201914-147","https://www.youtube.com/feed/library","[Music] Relaxation","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjReydqr2IZN0XmTL2Hdm5fQH"
"1574201914-151","https://www.youtube.com/feed/library","[Music] Techno/Rave","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRdAkQCUEnHUJqW-8iCP7rpd"
"1574201914-131","https://www.youtube.com/feed/library","[Music] Dance / EDM / Electronic","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRc0nppqIpS6LPi_KeCydsTP"
"1574201914-136","https://www.youtube.com/feed/library","[Music] Funk/AlternativeR/PsychedelicR","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjReooB1bEpdfEMxjy3y36GhQ"
"1574201914-132","https://www.youtube.com/feed/library","[Music] Dark","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRfoCXzMhxvXrMbBoF8If7Kd"
"1574201914-145","https://www.youtube.com/feed/library","[Music] Pyschedelic Trance","View full playlist","https://www.youtube.com/playlist?list=PL2JyZF7VdjRfPp4sEkrRWqxKgFAuCFPEd"